Image,Femur_Width_px,Tibia_Width_px,Min_JSW_px,Avg_JSW_px
Image_1211 copy.jpg,191,175,9,16.9375
Image_1211.jpg,197,181,9,15.851648351648352
Image_1212 copy.jpg,193,187,9,17.43617021276596
Image_1212.jpg,198,190,10,16.18324607329843
Image_1213 copy.jpg,204,192,8,15.26943005181347
Image_1213.jpg,196,186,10,15.183333333333334
Image_1214 copy.jpg,193,178,9,17.631284916201118
Image_1214.jpg,206,189,7,15.313829787234043
Image_1215 copy.jpg,197,183,9,16.184782608695652
Image_1215.jpg,203,180,10,17.055248618784532
Image_1216 copy.jpg,195,179,9,13.255555555555556
Image_1216.jpg,205,188,12,17.095238095238095
Image_1217 copy.jpg,200,186,7,13.101604278074866
Image_1217.jpg,192,187,8,17.60989010989011
Image_1218 copy.jpg,193,192,5,11.347368421052632
Image_1218.jpg,186,179,11,16.06111111111111
Image_1219 copy.jpg,197,191,7,17.567708333333332
Image_1219.jpg,204,180,9,15.21111111111111
Image_122 copy.jpg,207,183,8,14.358695652173912
Image_122.jpg,199,187,10,19.869565217391305
Image_1220 copy.jpg,199,175,9,17.795454545454547
Image_1220.jpg,195,183,9,15.841807909604519
Image_1221 copy.jpg,205,189,9,14.08421052631579
Image_1221.jpg,201,183,11,15.83695652173913
Image_1222 copy.jpg,192,184,8,16.654054054054054
Image_1222.jpg,198,186,7,17.818181818181817
Image_1223 copy.jpg,218,193,9,15.221649484536082
Image_1223.jpg,198,186,9,17.459893048128343
Image_1224 copy.jpg,204,193,9,14.682539682539682
Image_1224.jpg,197,183,8,15.331521739130435
Image_1225 copy.jpg,196,182,7,14.655737704918034
Image_1225.jpg,211,193,10,17.927835051546392
Image_1226 copy.jpg,195,178,12,18.564245810055866
Image_1226.jpg,208,198,5,12.605263157894736
Image_1227 copy.jpg,204,184,8,13.205405405405406
Image_1227.jpg,201,190,5,11.884816753926701
Image_1228 copy.jpg,196,183,11,18.994565217391305
Image_1228.jpg,193,183,7,14.054347826086957
Image_1229 copy.jpg,194,179,10,18.011111111111113
Image_1229.jpg,200,183,10,19.070652173913043
Image_123 copy.jpg,197,184,9,15.654054054054054
Image_123.jpg,196,185,9,18.043010752688172
Image_1230 copy.jpg,199,177,8,16.03932584269663
Image_1230.jpg,206,187,8,15.21808510638298
Image_1231 copy.jpg,191,182,12,17.02185792349727
Image_1231.jpg,207,185,11,16.725806451612904
Image_1232 copy.jpg,211,203,5,11.964646464646465
Image_1232.jpg,197,183,8,15.733695652173912
Image_1233 copy.jpg,205,194,8,13.37948717948718
Image_1233.jpg,202,183,8,13.666666666666666
Image_1234 copy.jpg,197,187,9,14.47340425531915
Image_1234.jpg,196,181,8,18.62087912087912
Image_1235 copy.jpg,197,178,10,15.206703910614525
Image_1235.jpg,200,185,8,17.070652173913043
Image_1236 copy.jpg,208,195,7,16.145077720207254
Image_1236.jpg,199,190,8,19.42408376963351
Image_1237 copy.jpg,202,195,8,16.293193717277486
Image_1237.jpg,201,190,9,16.31413612565445
Image_1238 copy.jpg,205,187,7,18.101063829787233
Image_1238.jpg,203,192,6,12.279792746113989
Image_1239 copy.jpg,203,194,5,11.348571428571429
Image_1239.jpg,201,186,7,12.962566844919786
Image_124 copy.jpg,198,189,10,18.33157894736842
Image_124.jpg,207,188,7,15.603174603174603
Image_1240 copy.jpg,204,196,8,15.431472081218274
Image_1240.jpg,208,189,9,15.557894736842105
Image_1241 copy.jpg,199,185,8,14.623655913978494
Image_1241.jpg,185,177,11,17.948863636363637
Image_1242 copy.jpg,207,192,7,9.952879581151832
Image_1242.jpg,204,190,10,18.226315789473684
Image_1243 copy.jpg,196,181,8,15.87912087912088
Image_1243.jpg,196,192,8,15.093264248704664
Image_1244 copy.jpg,197,191,9,16.389473684210525
Image_1244.jpg,205,192,7,13.052083333333334
Image_1245 copy.jpg,204,190,6,12.842931937172775
Image_1245.jpg,209,192,11,16.70744680851064
